利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 Id,订单日期,邮寄方式,销售额
-0.28,1,Sauder,"Sauder 书架, 金属",-464.0,2017/6/14,中国,华东,温岭,书架,贾彩,0.4,4,浙江,家具,公司,US-2017-4150614,2017/6/7,标准级,1638.0
0.05,1,Office Star,"Office Star 摇椅, 可调",60.0,2017/6/14,中国,华东,温岭,椅子,贾彩,0.4,3,浙江,家具,公司,US-2017-4150614,2017/6/7,标准级,1205.0
-0.09,1,OIC,"OIC 图钉, 金属",-17.0,2017/6/14,中国,华东,温岭,系固件,贾彩,0.4,5,浙江,办公用品,公司,US-2017-4150614,2017/6/7,标准级,199.0
-0.24,1,Accos,"Accos 图钉, 混合尺寸",-59.0,2017/6/14,中国,华东,温岭,系固件,贾彩,0.4,8,浙江,办公用品,公司,US-2017-4150614,2017/6/7,标准级,249.0
-0.47,1,Fiskars,"Fiskars 剪刀, 蓝色",-182.0,2017/6/14,中国,华东,温岭,用品,贾彩,0.4,6,浙江,办公用品,公司,US-2017-4150614,2017/6/7,标准级,389.0
-0.05,1,罗技,"罗技 路由器, 实惠",-35.0,2017/6/14,中国,华东,温岭,配件,贾彩,0.4,1,浙江,技术,公司,US-2017-4150614,2017/6/7,标准级,692.0
-0.09,1,Tenex,"Tenex 灯泡, 黑色",-9.0,2017/6/14,中国,华东,温岭,用具,贾彩,0.4,2,浙江,家具,公司,US-2017-4150614,2017/6/7,标准级,106.0
0.46,1,Wilson Jones,"Wilson Jones 标签, 回收",73.0,2018/12/15,中国,华东,上海,装订机,马丽,0.0,5,上海,办公用品,消费者,CN-2018-4364300,2018/12/12,二级,159.0
0.46,1,Fellowes,"Fellowes 文件车, 金属",585.0,2018/10/2,中国,华北,唐山,收纳具,宋栋,0.0,2,河北,办公用品,公司,CN-2018-3230180,2018/9/28,二级,1273.0
0.46,1,Harbour Creations,"Harbour Creations 椅垫, 可调",799.0,2018/10/2,中国,华北,唐山,椅子,宋栋,0.0,5,河北,家具,公司,CN-2018-3230180,2018/9/28,二级,1738.0
-0.35,1,Dania,"Dania 书架, 白色",-487.0,2017/11/23,中国,华东,宁波,书架,巩虢,0.4,4,浙江,家具,公司,US-2017-1966627,2017/11/19,标准级,1390.0
0.0,1,Advantus,"Advantus 灯泡, 耐用",0.0,2017/3/1,中国,华东,上海,用具,常松,0.0,5,上海,家具,消费者,CN-2017-1190387,2017/2/28,一级,399.0
0.13,1,Boston,"Boston 画布, 蓝色",32.0,2017/9/6,中国,华东,厦门,美术,田黎明,0.0,1,福建,办公用品,公司,CN-2017-3216455,2017/9/3,二级,250.0
0.48,1,Green Bar,"Green Bar 笔记本, 优质",400.0,2017/9/21,中国,华东,宿州,纸张,谭乐,0.0,6,安徽,办公用品,消费者,CN-2017-4690757,2017/9/17,标准级,834.0
0.34,1,Smead,"Smead 盘, 工业",78.0,2017/9/21,中国,华东,宿州,收纳具,谭乐,0.0,1,安徽,办公用品,消费者,CN-2017-4690757,2017/9/17,标准级,228.0
-0.23,1,Lesro,"Lesro 培训桌, 长方形",-211.0,2017/9/21,中国,华东,宿州,桌子,谭乐,0.25,1,安徽,家具,消费者,CN-2017-4690757,2017/9/17,标准级,932.0
0.37,1,SanDisk,"SanDisk 羊皮纸, 每包 12 个",108.0,2017/7/5,中国,西北,兰州,纸张,徐岱,0.0,3,甘肃,办公用品,公司,CN-2017-4674220,2017/7/2,一级,292.0
-0.22,1,Breville,"Breville 炉灶, 黑色",-2043.0,2017/8/1,中国,华东,淮阴,器具,武杰,0.4,6,江苏,办公用品,小型企业,US-2017-3857264,2017/7/26,标准级,9424.0
0.4,1,KitchenAid,"KitchenAid 搅拌机, 黑色",1651.0,2017/12/26,中国,东北,肇源,器具,吕兰,0.0,9,黑龙江,办公用品,消费者,CN-2017-4054371,2017/12/24,二级,4128.0
0.0,1,Fellowes,"Fellowes 锁柜, 蓝色",0.0,2015/5/22,中国,华东,南昌,收纳具,唐婉,0.0,2,江西,办公用品,小型企业,CN-2015-2932548,2015/5/17,二级,1935.0
0.19,1,Sanford,"Sanford 钢笔, 混合尺寸",50.0,2015/5/22,中国,华东,南昌,美术,唐婉,0.0,4,江西,办公用品,小型企业,CN-2015-2932548,2015/5/17,二级,267.0
0.34,1,Ibico,"Ibico 打孔机, 透明",237.0,2017/7/20,中国,华东,合肥,装订机,葛毅,0.0,5,安徽,办公用品,消费者,CN-2017-3476344,2017/7/16,标准级,698.0
-3.75,1,Boston,"Boston 速写本, 蓝色",-1021.0,2017/6/18,中国,西南,内江,美术,邹涛,0.8,6,四川,办公用品,公司,US-2017-5956361,2017/6/16,二级,272.0
0.13,1,诺基亚,"诺基亚 充电器, 蓝色",237.0,2017/6/18,中国,西南,内江,电话,邹涛,0.4,1,四川,技术,公司,US-2017-5956361,2017/6/16,二级,1781.0
0.42,1,Ames,"Ames 邮寄品, 银色",150.0,2017/6/18,中国,西南,内江,信封,邹涛,0.0,2,四川,办公用品,公司,US-2017-5956361,2017/6/16,二级,357.0
0.11,1,思科,"思科 充电器, 全尺寸",1340.0,2018/6/22,中国,东北,蛟河,电话,薛磊,0.0,4,吉林,技术,消费者,CN-2018-2396895,2018/6/19,二级,12183.0
0.41,1,Hewlett,"Hewlett 传真机, 彩色",1229.0,2018/6/22,中国,东北,蛟河,复印机,薛磊,0.0,2,吉林,技术,消费者,CN-2018-2396895,2018/6/19,二级,2999.0
0.44,1,Tenex,"Tenex 盘, 工业",225.0,2018/6/22,中国,东北,蛟河,收纳具,薛磊,0.0,2,吉林,办公用品,消费者,CN-2018-2396895,2018/6/19,二级,510.0
0.28,1,Hamilton Beach,"Hamilton Beach 炉灶, 黑色",3539.0,2017/5/26,中国,华东,青岛,器具,苏晒明,0.0,5,山东,办公用品,消费者,CN-2017-2828982,2017/5/22,标准级,12641.0
0.16,1,Hamilton Beach,"Hamilton Beach 烤面包机, 银色",217.0,2017/5/26,中国,华东,青岛,器具,苏晒明,0.0,5,山东,办公用品,消费者,CN-2017-2828982,2017/5/22,标准级,1359.0
0.48,1,Rogers,"Rogers 文件夹, 蓝色",69.0,2017/5/26,中国,华东,青岛,收纳具,苏晒明,0.0,1,山东,办公用品,消费者,CN-2017-2828982,2017/5/22,标准级,143.0
-0.38,1,Acme,"Acme 开信刀, 蓝色",-130.0,2018/1/4,中国,东北,沈阳,用品,林丹,0.4,4,辽宁,办公用品,消费者,US-2017-4297166,2017/12/31,标准级,338.0
-0.52,1,Stockwell,"Stockwell 订书钉, 每包 12 个",-72.0,2018/1/4,中国,东北,沈阳,系固件,林丹,0.4,5,辽宁,办公用品,消费者,US-2017-4297166,2017/12/31,标准级,138.0
-0.34,1,Accos,"Accos 按钉, 整包",-41.0,2018/1/4,中国,东北,沈阳,系固件,林丹,0.4,3,辽宁,办公用品,消费者,US-2017-4297166,2017/12/31,标准级,122.0
-0.3,1,Dania,"Dania 古典书架, 白色",-695.0,2017/10/7,中国,中南,黄石,书架,徐健,0.4,2,湖北,家具,公司,US-2017-4292548,2017/10/1,标准级,2314.0
0.38,1,Smead,"Smead 文件车, 蓝色",455.0,2018/11/23,中国,西北,西安,收纳具,麦虹,0.0,2,陕西,办公用品,公司,CN-2018-4838467,2018/11/16,标准级,1198.0
0.39,1,佳能,"佳能 传真机, 红色",1152.0,2015/8/27,中国,中南,阳江,复印机,袁保,0.0,2,广东,技术,公司,CN-2015-3232413,2015/8/24,二级,2955.0
0.12,1,松下,"松下 电话, 耐用",332.0,2017/6/10,中国,中南,邓州,设备,马丽娜,0.0,7,河南,技术,消费者,CN-2017-4162714,2017/6/7,一级,2775.0
0.48,1,Harbour Creations,"Harbour Creations 运输标签, 耐用",132.0,2015/1/23,中国,华东,曲阜,标签,谭君,0.0,5,山东,办公用品,公司,CN-2015-4497265,2015/1/21,一级,277.0
0.2,1,Stockwell,"Stockwell 回形针, 混合尺寸",51.0,2015/1/23,中国,华东,曲阜,系固件,谭君,0.0,5,山东,办公用品,公司,CN-2015-4497265,2015/1/21,一级,256.0
0.08,1,StarTech,"StarTech 打印机, 耐用",382.0,2018/9/17,中国,中南,湛江,设备,钱伟,0.0,4,广东,技术,公司,CN-2018-5922906,2018/9/15,二级,4784.0
-0.45,1,Hoover,"Hoover 微波炉, 黑色",-3106.0,2015/12/24,中国,中南,孝感,器具,陶武,0.4,8,湖北,办公用品,公司,US-2015-3767771,2015/12/19,标准级,6901.0
-0.08,1,Stanley,"Stanley 速写本, 蓝色",-37.0,2015/11/1,中国,中南,浏阳,美术,陶聪,0.2,3,湖南,办公用品,消费者,US-2015-1166331,2015/10/31,当日,498.0
0.06,1,Green Bar,"Green Bar 计划信息表, 每包 12 个",23.0,2015/11/1,中国,中南,浏阳,纸张,陶聪,0.0,3,湖南,办公用品,消费者,US-2015-1166331,2015/10/31,当日,391.0
0.26,1,SanDisk,"SanDisk 路由器, 耐用",934.0,2017/3/16,中国,东北,哈尔滨,配件,韩凤,0.0,3,黑龙江,技术,小型企业,CN-2017-3064620,2017/3/11,二级,3592.0
0.5,1,Smead,"Smead 有色标签, 红色",150.0,2016/10/2,中国,华东,滕州,标签,涂博,0.0,5,山东,办公用品,消费者,CN-2016-3188191,2016/9/27,二级,300.0
0.43,1,Kraft,"Kraft 搭扣信封, 红色",125.0,2016/9/18,中国,华北,北京,信封,钟庆缘,0.0,5,北京,办公用品,小型企业,CN-2016-5717181,2016/9/15,一级,293.0
0.11,1,宜家,"宜家 书架, 传统",63.0,2016/9/18,中国,华北,北京,书架,钟庆缘,0.0,1,北京,家具,小型企业,CN-2016-5717181,2016/9/15,一级,572.0
0.42,1,三星,"三星 信号增强器, 全尺寸",811.0,2018/10/28,中国,西南,重庆,电话,孟刚,0.0,3,重庆,技术,公司,CN-2018-2187292,2018/10/26,二级,1930.0
0.09,1,Kraft,"Kraft 邮寄品, 每套 50 个",47.0,2018/10/28,中国,西南,重庆,信封,孟刚,0.0,3,重庆,办公用品,公司,CN-2018-2187292,2018/10/26,二级,527.0
0.2,1,三星,"三星 充电器, 全尺寸",595.0,2018/10/28,中国,西南,重庆,电话,孟刚,0.0,1,重庆,技术,公司,CN-2018-2187292,2018/10/26,二级,2975.0
-0.05,1,Elite,"Elite 大剪刀, 蓝色",-33.0,2015/2/6,中国,华东,椒江,用品,黄丽,0.4,5,浙江,办公用品,消费者,US-2015-3275681,2015/2/2,二级,658.0
0.16,1,Accos,"Accos 橡皮筋, 每包 12 个",24.0,2015/12/27,中国,西北,西安,系固件,倪幂,0.0,2,陕西,办公用品,消费者,CN-2015-5821791,2015/12/23,标准级,150.0
0.17,1,Hon,"Hon 圆形标签, 耐用",16.0,2015/12/27,中国,西北,西安,标签,倪幂,0.0,3,陕西,办公用品,消费者,CN-2015-5821791,2015/12/23,标准级,99.0
0.21,1,Novimex,"Novimex 合法证物标签, 可调",16.0,2015/12/27,中国,西北,西安,标签,倪幂,0.0,2,陕西,办公用品,消费者,CN-2015-5821791,2015/12/23,标准级,78.0
0.14,1,Harbour Creations,"Harbour Creations 运输标签, 可调",84.0,2017/3/16,中国,华东,南昌,标签,钱珊,0.0,14,江西,办公用品,公司,CN-2017-4126497,2017/3/11,标准级,612.0
0.3,1,Kleencut,"Kleencut 尺子, 钢",36.0,2017/3/16,中国,华东,南昌,用品,钱珊,0.0,2,江西,办公用品,公司,CN-2017-4126497,2017/3/11,标准级,121.0
0.18,1,佳能,"佳能 复印机, 数字化",440.0,2017/8/8,中国,西北,西安,复印机,彭雯,0.0,2,陕西,技术,消费者,CN-2017-1751343,2017/8/8,当日,2443.0
-0.57,1,夏普,"夏普 墨水, 每套两件",-395.0,2016/8/27,中国,东北,叶柏寿,复印机,谢雯,0.4,2,辽宁,技术,小型企业,US-2016-1803838,2016/8/22,二级,697.0
0.45,1,Novimex,"Novimex 圆形标签, 可调",26.0,2016/8/27,中国,东北,叶柏寿,标签,谢雯,0.0,3,辽宁,办公用品,小型企业,US-2016-1803838,2016/8/22,二级,58.0
0.34,1,Ames,"Ames 外皮和封条, 回收",194.0,2015/6/6,中国,华东,上海,信封,韦立,0.0,7,上海,办公用品,消费者,CN-2015-4861225,2015/6/1,标准级,571.0
0.21,1,Tenex,"Tenex 分层置放架, 黑色",123.0,2015/6/6,中国,华东,上海,用具,韦立,0.0,5,上海,家具,消费者,CN-2015-4861225,2015/6/1,标准级,589.0
0.15,1,Harbour Creations,"Harbour Creations 有色标签, 可调",45.0,2018/6/2,中国,西北,西宁,标签,熊丽,0.0,6,青海,办公用品,公司,CN-2018-3172853,2018/5/28,二级,302.0
0.1,1,Eldon,"Eldon 框架, 优质",193.0,2017/7/26,中国,西南,绵阳,用具,曾康,0.4,6,四川,家具,消费者,CN-2017-5552260,2017/7/26,当日,1930.0
-0.5,1,思科,"思科 充电器, 混合尺寸",-3664.0,2015/12/18,中国,中南,武汉,电话,郝升,0.4,4,湖北,技术,消费者,US-2015-1357144,2015/12/14,标准级,7327.0
0.24,1,Wilson Jones,"Wilson Jones 孔加固材料, 实惠",10.0,2015/11/22,中国,西北,韩城,装订机,程聪,0.0,2,陕西,办公用品,消费者,CN-2015-5926511,2015/11/17,标准级,42.0
0.28,1,Eldon,"Eldon 搁板, 金属",186.0,2015/11/22,中国,西北,韩城,收纳具,程聪,0.0,3,陕西,办公用品,消费者,CN-2015-5926511,2015/11/17,标准级,665.0
0.43,1,Rogers,"Rogers 盘, 金属",244.0,2015/11/22,中国,西北,韩城,收纳具,程聪,0.0,2,陕西,办公用品,消费者,CN-2015-5926511,2015/11/17,标准级,567.0
0.44,1,Rogers,"Rogers 盘, 工业",255.0,2015/11/22,中国,西北,韩城,收纳具,程聪,0.0,2,陕西,办公用品,消费者,CN-2015-5926511,2015/11/17,标准级,580.0
-0.57,1,Stiletto,"Stiletto 大剪刀, 钢",-226.0,2018/5/24,中国,华东,盐城,用品,顾黎明,0.4,3,江苏,办公用品,消费者,US-2018-4733722,2018/5/21,二级,399.0
-0.03,1,Novimex,"Novimex 折叠椅, 每套两件",-39.0,2018/5/24,中国,华东,盐城,椅子,顾黎明,0.4,5,江苏,家具,消费者,US-2018-4733722,2018/5/21,二级,1183.0
-0.05,1,OIC,"OIC 夹子, 整包",-14.0,2018/5/24,中国,华东,盐城,系固件,顾黎明,0.4,5,江苏,办公用品,消费者,US-2018-4733722,2018/5/21,二级,277.0
0.1,1,Ames,"Ames 局间信封, 银色",66.0,2018/5/24,中国,华东,盐城,信封,顾黎明,0.0,3,江苏,办公用品,消费者,US-2018-4733722,2018/5/21,二级,665.0
-2.15,1,Sanford,"Sanford 荧光笔, 蓝色",-63.0,2018/5/24,中国,华东,盐城,美术,顾黎明,0.8,2,江苏,办公用品,消费者,US-2018-4733722,2018/5/21,二级,29.0
0.28,1,爱普生,"爱普生 收据打印机, 耐用",612.0,2018/11/14,中国,中南,南宁,设备,马惠英,0.0,4,广西,技术,公司,CN-2018-5834341,2018/11/10,标准级,2187.0
0.08,1,Elite,"Elite 修剪器, 工业",48.0,2016/1/28,中国,华东,泉州,用品,涂博,0.0,3,福建,办公用品,消费者,CN-2016-1973789,2016/1/25,一级,606.0
0.31,1,Cuisinart,"Cuisinart 咖啡研磨机, 红色",223.0,2016/1/28,中国,华东,泉州,器具,涂博,0.0,4,福建,办公用品,消费者,CN-2016-1973789,2016/1/25,一级,721.0
0.49,1,Elite,"Elite 开信刀, 钢",122.0,2018/11/18,中国,华北,天津,用品,巩松,0.0,2,天津,办公用品,小型企业,CN-2018-3766882,2018/11/14,标准级,249.0
0.0,1,Avery,"Avery 装订机, 回收",0.0,2018/10/28,中国,华北,天津,装订机,孙辉,0.0,3,天津,办公用品,小型企业,CN-2018-3665640,2018/10/23,二级,186.0
0.03,1,Eldon,"Eldon 闹钟, 优质",69.0,2018/10/28,中国,华北,天津,用具,孙辉,0.0,9,天津,家具,小型企业,CN-2018-3665640,2018/10/23,二级,2316.0
0.44,1,Safco,"SAFCO 扶手椅, 红色",947.0,2018/10/28,中国,华北,天津,椅子,孙辉,0.0,1,天津,家具,小型企业,CN-2018-3665640,2018/10/23,二级,2153.0
0.06,1,Novimex,"Novimex 折叠椅, 黑色",156.0,2016/10/12,中国,东北,七台河,椅子,彭伟,0.0,7,黑龙江,家具,小型企业,CN-2016-5378913,2016/10/10,一级,2607.0
0.12,1,Memorex,"Memorex 键区, 回收",96.0,2016/10/12,中国,东北,七台河,配件,彭伟,0.0,4,黑龙江,技术,小型企业,CN-2016-5378913,2016/10/10,一级,803.0
0.15,1,Fiskars,"Fiskars 修剪器, 锯齿状",82.0,2017/10/18,中国,华东,徐州,用品,巩关茵,0.4,5,江苏,办公用品,公司,CN-2017-2045726,2017/10/17,一级,546.0
-0.33,1,Hewlett,"Hewlett 复印机, 彩色",-1485.0,2017/10/18,中国,华东,徐州,复印机,巩关茵,0.4,6,江苏,技术,公司,CN-2017-2045726,2017/10/17,一级,4454.0
0.05,1,Eaton,"Eaton 计划信息表, 每包 12 个",17.0,2018/9/15,中国,华东,扬州,纸张,黄娟,0.0,3,江苏,办公用品,消费者,CN-2018-2328434,2018/9/12,一级,346.0
0.45,1,Acco,"Acco 孔加固材料, 透明",38.0,2017/8/7,中国,华北,北京,装订机,陈莲,0.0,3,北京,办公用品,公司,CN-2017-3984376,2017/8/5,二级,86.0
0.02,1,KitchenAid,"KitchenAid 微波炉, 黑色",29.0,2018/2/2,中国,中南,株洲,器具,韦锦,0.0,1,湖南,办公用品,消费者,CN-2018-5057492,2018/1/28,二级,1446.0
0.39,1,诺基亚,"诺基亚 办公室电话机, 整包",356.0,2018/5/25,中国,东北,青冈,电话,谭珊,0.0,3,黑龙江,技术,消费者,CN-2018-1118317,2018/5/20,标准级,913.0
0.42,1,贝尔金,"贝尔金 路由器, 耐用",1015.0,2017/6/22,中国,华东,新泰,配件,牛德伟,0.0,2,山东,技术,消费者,CN-2017-1498643,2017/6/22,当日,2417.0
0.26,1,Fiskars,"Fiskars 大剪刀, 工业",298.0,2017/6/22,中国,华东,新泰,用品,牛德伟,0.0,5,山东,办公用品,消费者,CN-2017-1498643,2017/6/22,当日,1149.0
-2.4,1,Stanley,"Stanley 铅笔刀, 整包",-337.0,2018/2/24,中国,华东,仪征,美术,马惠英,0.8,6,江苏,办公用品,公司,US-2018-4595101,2018/2/21,二级,140.0
0.12,1,Avery,"Avery 装订机, 实惠",13.0,2018/2/24,中国,华东,仪征,装订机,马惠英,0.4,3,江苏,办公用品,公司,US-2018-4595101,2018/2/21,二级,108.0
0.34,1,Ames,"Ames 外皮和封条, 回收",166.0,2016/10/8,中国,华东,镇江,信封,冯丽丽,0.0,6,江苏,办公用品,消费者,CN-2016-3269021,2016/10/8,当日,490.0
-0.57,1,StarTech,"StarTech 收据打印机, 红色",-171.0,2016/10/8,中国,华东,镇江,设备,冯丽丽,0.4,1,江苏,技术,消费者,CN-2016-3269021,2016/10/8,当日,302.0
0.1,1,GlobeWeis,"GlobeWeis 马尼拉纸信封, 银色",28.0,2016/10/8,中国,华东,镇江,信封,冯丽丽,0.0,2,江苏,办公用品,消费者,CN-2016-3269021,2016/10/8,当日,278.0
0.15,1,罗技,"罗技 记忆卡, 耐用",173.0,2016/10/8,中国,华东,镇江,配件,冯丽丽,0.4,4,江苏,技术,消费者,CN-2016-3269021,2016/10/8,当日,1160.0
-0.15,1,诺基亚,"诺基亚 办公室电话机, 全尺寸",-196.0,2016/10/8,中国,华东,镇江,电话,冯丽丽,0.4,7,江苏,技术,消费者,CN-2016-3269021,2016/10/8,当日,1302.0
0.08,1,Smead,"Smead 锁柜, 单宽度",222.0,2016/10/8,中国,华东,镇江,收纳具,冯丽丽,0.0,3,江苏,办公用品,消费者,CN-2016-3269021,2016/10/8,当日,2778.0
0.46,1,Kraft,"Kraft 搭扣信封, 银色",97.0,2016/10/8,中国,华东,镇江,信封,冯丽丽,0.0,4,江苏,办公用品,消费者,CN-2016-3269021,2016/10/8,当日,213.0
-0.23,1,Elite,"Elite 美工刀, 工业",-48.0,2016/10/8,中国,华东,镇江,用品,冯丽丽,0.4,2,江苏,办公用品,消费者,CN-2016-3269021,2016/10/8,当日,204.0
0.08,1,Hon,"Hon 摇椅, 红色",61.0,2016/2/21,中国,华东,杭州,椅子,雷木兰,0.4,2,浙江,家具,消费者,CN-2016-2594036,2016/2/15,标准级,731.0
-0.62,1,贝尔金,"贝尔金 闪存驱动器, 回收",-344.0,2015/12/26,中国,华东,杭州,配件,马惠英,0.4,5,浙江,技术,公司,US-2015-3737485,2015/12/24,二级,557.0
0.44,1,惠普,"惠普 墨水, 彩色",1336.0,2017/3/4,中国,中南,禹州,复印机,丁妮,0.0,5,河南,技术,公司,CN-2017-3815654,2017/2/27,标准级,3037.0
-0.12,1,Enermax,"Enermax 键盘, 实惠",-164.0,2018/9/17,中国,东北,沈阳,配件,沈聪,0.4,6,辽宁,技术,消费者,US-2018-2352370,2018/9/11,标准级,1402.0
-0.45,1,Cardinal,"Cardinal 订书机, 透明",-683.0,2018/9/17,中国,东北,沈阳,装订机,沈聪,0.4,11,辽宁,办公用品,消费者,US-2018-2352370,2018/9/11,标准级,1516.0
0.12,1,Hon,"Hon 运输标签, 白色",57.0,2016/7/17,中国,中南,珠海,标签,吕凤,0.0,9,广东,办公用品,小型企业,CN-2016-2554132,2016/7/17,当日,478.0
0.45,1,Novimex,"Novimex 圆形标签, 可调",35.0,2017/11/17,中国,西南,重庆,标签,倪幂,0.0,4,重庆,办公用品,消费者,CN-2017-4214287,2017/11/12,标准级,78.0
0.23,1,Avery,"Avery 孔加固材料, 透明",17.0,2017/11/17,中国,西南,重庆,装订机,倪幂,0.0,4,重庆,办公用品,消费者,CN-2017-4214287,2017/11/12,标准级,72.0
-0.52,1,Avery,"Avery 订书机, 回收",-285.0,2018/1/22,中国,西北,肃州,装订机,杨健,0.4,4,甘肃,办公用品,消费者,US-2018-4736051,2018/1/17,二级,551.0
0.08,1,Harbour Creations,"Harbour Creations 扶手椅, 可调",555.0,2016/10/11,中国,华东,常州,椅子,薛婷,0.4,5,江苏,家具,消费者,CN-2016-2084652,2016/10/5,标准级,6665.0
-0.47,1,Advantus,"Advantus 门挡, 耐用",-165.0,2016/10/11,中国,华东,常州,用具,薛婷,0.4,3,江苏,家具,消费者,CN-2016-2084652,2016/10/5,标准级,353.0
0.32,1,Harbour Creations,"Harbour Creations 合法证物标签, 红色",32.0,2016/10/11,中国,华东,常州,标签,薛婷,0.0,2,江苏,办公用品,消费者,CN-2016-2084652,2016/10/5,标准级,101.0
-0.37,1,OIC,"OIC 橡皮筋, 金属",-35.0,2016/2/22,中国,华东,张家港,系固件,牛晒明,0.4,2,江苏,办公用品,小型企业,US-2016-1904299,2016/2/16,标准级,96.0
